Year,Vinyl Scarcity Range,Record Condition,Genre,Price
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$4.17
2015,$201 - $400 (90818 to 50456 copies),Poor,Motown,$13.54
2015,$20 - $200 (100000 to 90819 copies),Poor,Motown,$2.52
2015,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$2733.70
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2386.39
2015,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$34.82
2015,$401 - $1000 (50455 to 10092 copies),Very Good,Motown,$454.98
2015,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$26.71
2015,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$1161.31
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1965.26
2015,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$108.14
2015,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2271.40
2015,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$19.24
2015,$201 - $400 (90818 to 50456 copies),Poor,Northern Soul,$16.66
2015,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$59.85
2015,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$30.64
2015,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$26.96
2015,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$274.13
2015,$20 - $200 (100000 to 90819 copies),Good,Motown,$10.51
2015,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$1004.08
2015,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2220.83
2015,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1236.89
2015,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$590.92
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2180.50
2015,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$370.26
2015,$20 - $200 (100000 to 90819 copies),Poor,Motown,$5.65
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1445.81
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$4625.90
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$10.29
2015,$401 - $1000 (50455 to 10092 copies),Poor,Northern Soul,$42.99
2015,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$115.54
2015,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$413.53
2015,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$544.27
